"CLAVE","CVE_GEOEST","INDICE","NOM_LOC","NOM_MUN","CAT_POLI","ORI_MODIF"
"1","010010001","1","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1900."
"1","010010001","2","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1910."
"1","010010001","3","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1921."
"1","010010001","4","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1930."
"1","010010001","5","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1940."
"1","010010001","6","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1950."
"1","010010001","7","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1960."
"1","010010001","8","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1970."
"1","010010001","9","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1980."
"1","010010001","10","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 1990."
"1","010010001","11","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Conteo de 1995."
"1","010010001","12","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Censo de 2000."
"1","010010001","13","Aguascalientes (Cab.)","Aguascalientes","Ciudad","Conteo de 2005."
"1","010010001","14","Aguascalientes (Cab)","Aguascalientes","Ciudad","Censo de 2010."
"2","010010063","1","Los González","Aguascalientes","Indefinida","Censo de 1990."
"2","010010063","2","","","","Localidad con una vivienda."
"2","010010063","3","Los González","Aguascalientes","","Decreto No. 162 del 30 de enero de 1992."
"2","010010063","4","","","","Pasa al municipio San Francisco de los Romo 011 con clave 0027."
"2","010010063","5","Los González","Aguascalientes","Indefinida","Conteo de 1995."
"2","010010063","6","","","","Baja de la localidad."
"3","010010093","1","Acapulco","Aguascalientes","Rancho","Censo de 1960."
"3","010010093","2","Acapulco","Aguascalientes","Rancho","Censo de 1970."
"3","010010093","3","Acapulco","Aguascalientes","Rancho","Censo de 1980."
"3","010010093","4","","","","Baja de la localidad."
"3","010010093","5","Acapulco","Aguascalientes","Indefinida","Censo de 1990."
"3","010010093","6","","","","Localidad rehabilitada."
"3","010010093","7","Acapulco","Aguascalientes","Indefinida","Conteo de 1995."
"3","010010093","8","Acapulco","Aguascalientes","Indefinida","Censo de 2000."
"3","010010093","9","","","","Baja de la localidad."
"4","010010094","1","Adelia","Aguascalientes","Granja","Censo de 1970."
"4","010010094","2","Adelia (Adelita)","Aguascalientes","Granja","Censo de 1980."
"4","010010094","3","La Adelita","Aguascalientes","Indefinida","Censo de 1990."
"4","010010094","4","","","","Cambio de nombre de la localidad."
"4","010010094","5","Granja Adelita","Aguascalientes","Indefinida","Conteo de 1995."
"4","010010094","6","","","","Cambio de nombre de la localidad."
"4","010010094","7","","","","Localidad con dos viviendas."
"4","010010094","8","Granja Adelita","Aguascalientes","Indefinida","Censo de 2000."
"4","010010094","9","Granja Adelita","Aguascalientes","Indefinida","Conteo de 2005."
"4","010010094","10","Granja Adelita","Aguascalientes","Indefinida","Censo de 2010."
"5","010010096","1","Agua Azul","Aguascalientes","Rancho","Censo de 1970."
"5","010010096","2","Agua Azul","Aguascalientes","Rancho","Censo de 1980."
"5","010010096","3","Agua Azul","Aguascalientes","Indefinida","Censo de 1990."
"5","010010096","4","Agua Azul","Aguascalientes","Indefinida","Conteo de 1995."
"5","010010096","5","Agua Azul","Aguascalientes","Indefinida","Censo de 2000."
"5","010010096","6","Agua Azul","Aguascalientes","Indefinida","Conteo de 2005."
"5","010010096","7","Agua Azul","Aguascalientes","Indefinida","Censo de 2010."
"6","010010097","1","Los Aguilares","Aguascalientes","Rancho","Censo de 1900."
"6","010010097","2","Los Aguilares","Aguascalientes","Rancho","Censo de 1910."
"6","010010097","3","Los Aguilares","Aguascalientes","Rancho","Censo de 1921."
"6","010010097","4","Los Aguilares","Aguascalientes","Congregación","Censo de 1930."
"6","010010097","5","Los Aguilares","Aguascalientes","Congregación","Censo de 1940."
"6","010010097","6","Los Aguilares","Aguascalientes","Congregación","Censo de 1950."
"6","010010097","7","Los Aguilares","Aguascalientes","Congregación","Censo de 1960."
"6","010010097","8","Los Aguilares","Aguascalientes","Rancho","Censo de 1970."
