"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"150571","130010001","004-3","200840","0982618","2140","F14D82","U","Hidalgo","Acatlán"
"150572","130010002","003-9","200706","0982644","2160","F14D82","R","Hidalgo","Acatlán"
"150573","130010003","001-A","201329","0982713","2080","F14D82","R","Hidalgo","Acatlán"
"150574","130010004","003-9","200905","0982655","2180","F14D82","R","Hidalgo","Acatlán"
"150575","130010005","003-9","201035","0982656","2120","F14D82","R","Hidalgo","Acatlán"
"150576","130010006","003-9","200819","0982654","2180","F14D82","R","Hidalgo","Acatlán"
"150577","130010007","001-A","201933","0982724","2200","F14D72","R","Hidalgo","Acatlán"
"150578","130010008","003-9","200744","0982655","2180","F14D82","R","Hidalgo","Acatlán"
"150579","130010009","","0","0","","","R","Hidalgo","Acatlán"
"150580","130010010","002-4","201149","0982558","2120","F14D82","R","Hidalgo","Acatlán"
"150581","130010011","001-A","201655","0982547","2120","F14D72","R","Hidalgo","Acatlán"
"150582","130010012","001-A","201321","0982822","2100","F14D82","R","Hidalgo","Acatlán"
"150583","130010013","001-A","201616","0982854","1960","F14D72","R","Hidalgo","Acatlán"
"150584","130010014","","0","0","","","R","Hidalgo","Acatlán"
"150585","130010015","002-4","200830","0982556","2140","F14D82","R","Hidalgo","Acatlán"
"150586","130010016","002-4","201145","0982744","2120","F14D82","R","Hidalgo","Acatlán"
"150587","130010017","003-9","200832","0982854","2400","F14D82","R","Hidalgo","Acatlán"
"150588","130010018","001-A","201552","0982637","2160","F14D72","R","Hidalgo","Acatlán"
"150589","130010019","001-A","201508","0982445","2140","F14D72","R","Hidalgo","Acatlán"
"150590","130010020","001-A","201509","0982752","1940","F14D72","R","Hidalgo","Acatlán"
"150591","130010021","003-9","200736","0982749","2220","F14D82","R","Hidalgo","Acatlán"
"150592","130010022","001-A","201750","0982842","1680","F14D72","R","Hidalgo","Acatlán"
"150593","130010023","002-4","201118","0982645","2100","F14D82","R","Hidalgo","Acatlán"
"150594","130010024","002-4","201110","0982444","2120","F14D82","R","Hidalgo","Acatlán"
"150595","130010025","002-4","201055","0982606","2120","F14D82","R","Hidalgo","Acatlán"
"150596","130010026","001-A","201354","0982452","2140","F14D82","R","Hidalgo","Acatlán"
"150597","130010027","002-4","200959","0982323","2120","F14D82","R","Hidalgo","Acatlán"
"150598","130010028","001-A","201507","0982517","2180","F14D72","R","Hidalgo","Acatlán"
"150599","130010029","002-4","201212","0982338","2140","F14D82","R","Hidalgo","Acatlán"
"150600","130010030","002-4","200815","0982353","2140","F14D82","R","Hidalgo","Acatlán"
"150601","130010031","002-4","200904","0982539","2120","F14D82","R","Hidalgo","Acatlán"
"150602","130010032","001-A","201829","0982410","2160","F14D72","R","Hidalgo","Acatlán"
"150603","130010033","001-A","201733","0982822","1760","F14D72","R","Hidalgo","Acatlán"
"150604","130010034","001-A","201344","0982543","2140","F14D82","R","Hidalgo","Acatlán"
"150605","130010035","001-A","201536"," 982543","2140","F14D72","R","Hidalgo","Acatlán"
"150606","130010036","003-9","200443","0982821","2460","F14D82","R","Hidalgo","Acatlán"
"150607","130010038","003-9","200637","0982753","2380","F14D82","R","Hidalgo","Acatlán"
"150608","130010039","001-A","201822","0982935","2140","F14D72","R","Hidalgo","Acatlán"
"150609","130010040","002-4","200954","0982612","2120","F14D82","R","Hidalgo","Acatlán"
"150610","130010041","002-4","200938","0982359","2120","F14D82","R","Hidalgo","Acatlán"
"150611","130010042","001-A","201718","0982643","2120","F14D72","R","Hidalgo","Acatlán"
"150612","130010043","001-A","201718","0982747","2100","F14D72","R","Hidalgo","Acatlán"
"150613","130010047","001-A","201724","0982725","1900","F14D72","R","Hidalgo","Acatlán"
"150614","130010048","001-A","201726","0982917","1900","F14D72","R","Hidalgo","Acatlán"
"150615","130010049","001-A","201931","0982838","2180","F14D72","R","Hidalgo","Acatlán"
"150616","130010050","001-A","201502","0982421","2140","F14D72","R","Hidalgo","Acatlán"
"150617","130010051","002-4","201014","0982526","2120","F14D82","R","Hidalgo","Acatlán"
"150618","130010052","002-4","200841","0982358","2120","F14D82","R","Hidalgo","Acatlán"
"150619","130010053","003-9","201041","0982855","2100","F14D82","R","Hidalgo","Acatlán"
"150620","130010055","003-9","200943","0982817","2160","F14D82","R","Hidalgo","Acatlán"
"150621","130010056","003-9","200708","0982548","2160","F14D82","R","Hidalgo","Acatlán"
